Country,dollar_price
United Arab Emirates,4.900559481
Argentina,5.994005994
Australia,5.0201825
Azerbaijan,3.494860499
Bahrain,4.509881947
Brazil,4.813907779
Canada,5.356125356
Switzerland,7.729134222
Chile,4.645594725
China,3.499660533
Colombia,4.86747714
Costa Rica,5.414085799
Czech Republic,4.849526132
Denmark,5.651472786
Egypt,2.619240097
Euro area,5.821453379
United Kingdom,5.391078344
Guatemala,3.685394401
Hong Kong,2.949209484
Honduras,4.142973193
Hungary,3.987780302
Indonesia,2.519893899
India,2.541070508
Israel,4.64018124
Jordan,3.526341773
Japan,3.16722973
South Korea,4.079551249
Kuwait,4.558775643
Lebanon,5.029239766
Sri Lanka,5.557251908
Moldova,3.566374186
Mexico,5.328543631
Malaysia,2.916389443
Nicaragua,4.350205198
Norway,6.919389117
New Zealand,5.041035
Oman,3.687832749
Pakistan,3.441048035
Peru,4.134582033
Philippines,2.822030041
Poland,4.981725329
Qatar,3.846153846
Romania,3.23942718
Saudi Arabia,5.064505811
Singapore,4.857659286
Sweden,5.735902926
Thailand,3.739546434
Turkey,3.528090096
Taiwan,2.38652093
Ukraine,2.843105267
Uruguay,6.858202039
United States,5.58
Vietnam,3.124010554
South Africa,2.805932382
Austria,5.303255824
Belgium,5.402485143
Germany,5.887606258
Spain,5.73324954
France,5.843504339
Greece,5.181975545
Croatia,4.509421273
Ireland,5.622994741
Italy,6.394778333
Netherlands,5.876580778
Portugal,5.402485143
Slovakia,4.74095635
Slovenia,3.969172758
Latvia,4.079427557
Luxembourg,5.402485143
Lithuania,3.12548035
